domain,fb_score,mturk_score,allsides_score,allsides_score_community,mbfc_score,media_score,buntain_share_ideology_score
americangulag.org,,,,,1.0,,
americanheritage.com,,,,,0.0,,
americanimmigrationcouncil.org,,,,,-0.33,,
americanindependent.com,,,,,-0.66,,
americanjournaldaily.com,,,,,0.66,,
americanjournalreview.com,,,,,,,1.5563553080421748
americanlibertyemail.com,,,,,1.0,,
americanlookout.com,,,,,1.0,,1.5421045234088444
americanmilitarynews.com,,,,,0.33,,1.1229776113527674
americanmind.org,,,,,0.33,,
americannews.com,0.8651,,,,,,1.3720254493935842
americannewsx.com,,,,,,,-1.4131761712895463
americanoverlook.com,0.8311,,,,,,
americanoversight.org,,,,,-0.66,,
americanow.com,,,,,,,0.7358044394333294
americanpartisan.org,,,,,1.0,,
americanpatriotdaily.com,,,,,1.0,,
americanpeopledaily.com,,,,,1.0,,
americanpolicy.org,,,,,0.66,,
americanpressinstitute.org,,,,,0.0,,
americanprinciplesproject.org,,,,,1.0,,
americanprogress.org,,,-0.5,-0.5,-0.66,,
americanpublicmedia.org,,,,,-0.33,,
americanpurpose.com,,,,,-0.33,,
americansforprosperity.org,,,,,0.66,,
americansfortruth.com,,,,,1.0,,
americanthinker.com,0.9112,,1.0,0.5,1.0,2.888033797480439,1.5470917903528816
americantimesfood.com,,,,,,,0.7125193271218003
americaoutloud.com,,,,,1.0,,
americarisingpac.org,,,,,0.66,,
americasfreedomfighters.com,0.8523,,,,1.0,,1.319994050836188
americasfrontlinedoctors.com,,,,,0.66,,
americaslastlineofdefense.com,,,,,-0.66,,
americasnewssource.com,,,,,0.66,,
americasquarterly.org,,,,,0.33,,
americasvoice.news,,,,,0.66,,
amestoday.com,,,,,0.33,,
amestrib.com,,,,,-0.33,,
amg-news.com,,,,,0.66,,
amgreatness.com,,,,,0.66,,1.496800119065337
amightygirl.com,,,,,,,-1.0119293942570156
amimagazine.org,,,,,0.66,,
ammoland.com,,,,,0.66,,1.3567674778449852
amnesty.org,,,,,-0.33,,
amny.com,,-0.0833333333333,,,-0.33,,
amomama.com,,,,,,,0.1775565957854712
amomama.us,,,,,,,0.335386138123871
amredeemed.com,,,,,,,0.6391458583847356
amren.com,,,,,1.0,,
amsterdamnews.com,,,,,-0.66,,-0.7914001612469767
amtvmedia.com,,,,,0.66,,
analyzingamerica.org,,,,,1.0,,
ancestry.com,,,,,,,0.1207129672086816
anchoragepress.com,,,,,0.33,,
ancient-code.com,,,,,,,-0.0785417686630764
ancient-origins.net,,,,,,,-0.3007463983334365
andalusiastarnews.com,,,,,0.33,,
andersonreporter.com,,,,,0.33,,
andoveradvertiser.co.uk,,,,,0.0,,
angrypatriotmovement.com,,,,,1.0,,1.4680968178063103
angrywhitemen.org,,,,,-0.66,,
angusreid.org,,,,,0.33,,
animalchannel.co,,,,,,,0.2599536106340301
animalpetitions.org,,,,,,,-0.2472461990604679
animalsbeingcute.com,,,,,,,0.4474447233057496
animalsmeltmyheart.com,,,,,,,0.4501585504412096
aninews.in,,,,,0.33,,
annarbortimes.com,,,,,0.33,,
anncoulter.com,,,1.0,0.5,,,
annearundeltoday.com,,,,,0.33,,
annistonstar.com,,,,,-0.33,,
anonews.co,,,,,,,0.0449849108178887
anongroup.org,,,,,,,0.1145355916096653
anonhq.com,-0.4102,,,,,,-0.2892440942352884
ansa.it,,,,,0.0,,
answersingenesis.org,,,,,0.66,,
antelopevalleytoday.com,,,,,0.33,,
anthropocenemagazine.org,,,,,-0.33,,
antihate.ca,,,,,-0.66,,
antinews.in,,,,,,,-0.0573007970455554
antiwar.com,,,,,0.33,,
anyavien.com,,,,,,,0.1010244244240081
aol.com,0.0133,0.0,,,-0.33,,-0.2933348010245756
ap.org,,,0.0,-0.5,,,0.7232293914042249
aplus.com,,,,,,,-0.3346710395236997
apmreports.org,,,,,-0.33,,
apnews.com,,,,,-0.33,0.0205679565970216,-0.7103660794830351
apost.com,,,,,,,0.3174066796169193
app.actionsprout.com,-0.6993,,,,,,
app.com,,,,,-0.33,,-0.0247826184087394
appalachianmagazine.com,,,,,,,0.5194958503769423
apple.com,,,,,-0.33,,-0.069465109948799
apple.news,,,,,,,-0.9256747629788912
appledaily.com,,,,,0.33,,
apsa.org,,,,,-0.33,,
apsari.com,,,,,,,-0.2062105434155468
aptnnews.ca,,,,,-0.33,,
arabnews.com,,,,,0.33,,
arcamax.com,,,,,0.33,,
arcdigital.media,,,,,0.0,,
architecturaldigest.com,,,,,,,-0.4246406965645579
arealme.com,,,,,,,-0.0099666205030399
areomagazine.com,,,,,-0.33,,
argonautnews.com,,,,,0.0,,
argumentopolitico.com,,,,,,,-0.7058029835669318
argusleader.com,,,,,0.33,,
arirang.com,,,,,0.0,,
arizonadailyindependent.com,,,,,0.66,,
arkansasonline.com,,,-1.0,0.5,0.33,,
arklatexhomepage.com,,,,,0.0,,
arktimes.com,,,,,-0.33,,
armscontrol.org,,,,,-0.33,,
armstrongeconomics.com,,,,,0.66,,
armytimes.com,0.4171,,,,0.0,,0.6149564109963648
aroostooknews.com,,,,,0.33,,
arstechnica.com,,,,,0.0,,-0.912540131323042
arte.tv,,,,,-0.33,,
artnet.com,,,,,,,-1.2283801274392672
artsy.net,,,,,,,-1.207222721763947
asahi.com,,,,,-0.33,,
ascienceenthusiast.com,,,,,,,-0.8173306157094727
asianews.it,,,,,0.66,,
asiasentinel.com,,,,,-0.33,,
asiatimes.com,,,,,0.0,,
askingangels.com,,,,,0.66,,
aspca.org,,,,,,,-0.1847334906311228
aspeniaonline.it,,,,,-0.33,,
aspeninstitute.org,,,,,-0.33,,
aspentimes.com,,,,,0.0,,
atavist.com,,,,,-0.33,,
atchisonglobenow.com,,,,,0.33,,
athensmessenger.com,,,,,0.0,,
athensreporter.com,,,,,0.33,,
atlanta.cbslocal.com,,,,,-0.33,,
atlantablackstar.com,-0.7055,,,,-0.33,-2.031018266050345,-0.9595201549651574
atlanticcouncil.org,,,,,0.33,,
atlanticmedia.com,,,,,-0.33,,
atlasobscura.com,,,,,0.0,,-0.9735794695454988
atlstandard.com,,,,,0.33,,
atmoreadvance.com,,,,,0.33,,
atr.org,,,1.0,0.5,0.66,,
attackthesystem.com,,,,,-0.66,,
attn.com,-0.7747,,,,-0.33,-1.6683189686565905,-1.1580693167304916
au.org,,,,,-0.66,,
auburnpub.com,,,,,0.0,,
auburntimes.com,,,,,0.33,,
audacy.com,,,,,0.0,,
audubon.org,,,,,,,-0.8788517689823039
augustachronicle.com,,,,,-0.33,,
auntyacid.com,,,,,,,0.3690431275696849
austinchronicle.com,,,,,-0.66,,
austindailyherald.com,,,,,-0.33,,
australiannationalreview.com,,,,,0.66,,
autismspeaks.org,,,,,,,-0.0762653381482671
autoblog.com,,,,,,,0.2558002662493869
autostraddle.com,,,,,-0.33,,
autotrader.com,,0.0,,,,,
avalon.law.yale.edu,,-0.166666666667,,,,,
avclub.com,,0.0,,,-0.33,,-1.0327947037436769
avenuenews.com,,,,,0.0,,
avoiceformen.com,,,,,0.66,,
awarenessact.com,,,,,,,-0.0684607724700966
awesomeinventions.com,,,,,,,-0.0575193406026098
awesomeocean.com,,,,,,,-0.203360606060606
awesometips.info,,,,,,,0.429002996569538
awkward.com,,,,,,,-0.4349819844503563
awm.com,,,,,0.66,,0.6909486852778162
awmamerica.com,,,,,,,1.1519937835074077
axios.com,,,,,-0.33,-0.0529400305249421,-1.162946694422538
axs.com,,0.0,,,,,
aynrand.org,,,,,0.33,,
azcapitoltimes.com,,,,,-0.33,,
azcentral.com,-0.1731,,,,-0.33,,-0.4512954672329433
azdailysun.com,,,,,-0.33,,
azfamily.com,0.0439,,,,0.0,,0.2390444834807011
azquotes.com,,,,,,,0.5542306436946939
babble.com,,,,,,,-0.0056456734008638
babnet.net,,,,,0.0,,
babygaga.com,,,,,,,0.2165385985910989
babylonbee.com,,,,,0.66,,1.110587048187624
badgerinstitute.org,,,,,0.66,,
bakersfieldnow.com,,,,,0.33,,
